State/UT,hand-wash-facility-percentage
Andaman and Nicobar Islands,39.65
Andhra Pradesh,13.68
Arunachal Pradesh,9.47
Assam,15.15
Bihar,10.52
Chandigarh,50.54
Chhattisgarh,23.89
Dadra and Nagar Haveli,11.48
Daman and Diu,13.21
Delhi,58.13
Goa,45.79
Gujarat,25.93
Haryana,26.11
Himachal Pradesh,40.39
Jammu and Kashmir,23.65
Jharkhand,6.52
Karnataka,10.14
Kerala,27.38
Lakshadweep,40.79
Madhya Pradesh,28.98
Maharashtra,33.77
Manipur,14.52
Meghalaya,5.5
Mizoram,12.29
Nagaland,8.9
Orissa,12.87
Puducherry,27.86
Punjab,35.9
Rajasthan,33.12
Sikkim,22.32
Tamil Nadu,41.77
Tripura,21.29
Uttar Pradesh,17.94
Uttarakhand,20.51
West Bengal,17.41
