State/UT,Schools having Own Building (%age),Schools having Pucca Building (%age),Condition of Rooms in Pucca Building (%age)- Good,Condition of Rooms in Pucca Building (%age)- Average,Condition of Rooms in Pucca Building (%age)- Poor,Availability of Toilets (%age)
Andhra Pradesh,97.5,82.05,90.62,9.38,0.0,57.5
Arunachal Pradesh,100.0,88.24,60.0,33.33,6.67,17.64
Bihar,100.0,47.5,26.32,52.63,21.05,90.0
Haryana,100.0,100.0,45.0,55.0,0.0,100.0
Himachal Pradesh,85.0,94.44,64.71,35.29,0.0,75.0
Jammu and Kashmir,80.0,100.0,25.0,75.0,0.0,80.0
Jharkhand,86.67,76.92,65.0,35.0,0.0,56.66
Karnataka,100.0,100.0,82.14,14.29,3.57,67.85
Kerala,100.0,95.0,21.05,73.68,5.26,95.0
Madhya Pradesh,97.5,97.5,38.46,46.15,15.38,67.5
Maharashtra,95.0,89.47,67.65,23.53,8.82,55.0
Meghalaya,100.0,95.0,78.95,21.05,0.0,50.0
Punjab,90.0,88.89,56.25,31.25,12.5,75.0
Rajasthan,97.5,100.0,66.67,30.77,2.56,90.0
Tamil Nadu,100.0,83.33,50.0,50.0,0.0,93.33
Uttar Pradesh,97.5,100.0,76.32,15.79,7.89,67.5
West Bengal,80.0,66.67,37.5,62.5,0.0,76.66
Delhi,,,,,,
Uttarakhand,,,,,,
Lakshadweep,,,,,,
Chandigarh,,,,,,
Manipur,,,,,,
Chhattisgarh,,,,,,
Sikkim,,,,,,
Orissa,,,,,,
Dadra and Nagar Haveli,,,,,,
Mizoram,,,,,,
Andaman and Nicobar Islands,,,,,,
Daman and Diu,,,,,,
Assam,,,,,,
Tripura,,,,,,
Nagaland,,,,,,
Puducherry,,,,,,
Gujarat,,,,,,
Goa,,,,,,
