State/UT,Daily (in percent),Sometimes in a week (in percent),Sometimes in month/ year (in percent),Never (in percent)
Andhra Pradesh,6.52,2.83,73.09,17.56
Arunachal Pradesh,0.0,0.63,60.76,38.61
Bihar,12.75,0.0,44.75,42.5
Haryana,3.02,14.07,81.41,1.51
Himachal Pradesh,3.98,7.96,86.57,1.49
Jammu and Kashmir,4.0,6.0,71.0,19.0
Jharkhand,20.13,0.0,40.92,38.94
Karnataka,18.37,12.01,62.19,7.42
Kerala,2.47,14.81,74.07,8.64
Madhya Pradesh,3.0,2.0,88.5,6.5
Maharashtra,3.53,9.51,82.07,4.89
Meghalaya,0.0,100.0,0.0,0.0
Punjab,17.0,5.0,64.5,13.5
Rajasthan,45.64,7.44,27.95,18.97
Tamil Nadu,6.35,5.35,62.88,25.42
Uttar Pradesh,17.69,4.36,50.0,27.95
West Bengal,25.11,4.33,46.75,23.81
Delhi,,,,
Uttarakhand,,,,
Lakshadweep,,,,
Chandigarh,,,,
Manipur,,,,
Chhattisgarh,,,,
Sikkim,,,,
Orissa,,,,
Dadra and Nagar Haveli,,,,
Mizoram,,,,
Andaman and Nicobar Islands,,,,
Daman and Diu,,,,
Assam,,,,
Tripura,,,,
Nagaland,,,,
Puducherry,,,,
Gujarat,,,,
Goa,,,,
