State/UT,Intermediate/ Senior Secondary Schools,High/ Secondary Schools,Upper Primary Schools,Primary Schools,Pre-Primary Schools
Andhra Pradesh,90.0,96.0,88.0,93.0,
Arunachal Pradesh,60.0,36.0,18.0,9.0,
Assam,29.0,29.0,41.0,83.0,
Bihar,95.0,98.0,90.0,85.0,100.0
Chhattisgarh,78.0,68.0,74.0,72.0,42.0
Goa,91.0,100.0,99.0,94.0,
Gujarat,100.0,100.0,100.0,0.0,
Haryana,100.0,100.0,100.0,100.0,
Himachal Pradesh,100.0,100.0,100.0,100.0,
Jammu and Kashmir,59.0,54.0,48.0,40.0,
Jharkhand,,,,,
Karnataka,100.0,100.0,100.0,100.0,
Kerala,100.0,100.0,100.0,100.0,
Madhya Pradesh,78.0,78.0,89.0,87.0,
Maharashtra,99.0,96.0,96.0,96.0,99.0
Manipur,43.0,42.0,35.0,36.0,100.0
Meghalaya,36.0,36.0,36.0,45.0,
Mizoram,31.0,43.0,53.0,44.0,
Nagaland,32.0,25.0,19.0,24.0,
Orissa,100.0,92.0,91.0,88.0,
Punjab,100.0,100.0,100.0,100.0,
Rajasthan,91.0,91.0,81.0,86.0,100.0
Sikkim,58.0,55.0,42.0,68.0,
Tamil Nadu,100.0,100.0,100.0,100.0,
Tripura,90.0,86.0,47.0,94.0,
Uttar Pradesh,97.0,97.0,95.0,98.0,
Uttarakhand,100.0,100.0,100.0,100.0,
West Bengal,66.0,69.0,35.0,48.0,
Andaman and Nicobar Islands,100.0,99.0,99.0,95.0,84.0
Chandigarh,98.0,99.0,96.0,96.0,
Dadra and Nagar Haveli,95.0,94.0,96.0,98.0,
Daman and Diu,96.0,100.0,96.0,93.0,95.0
Delhi,100.0,100.0,100.0,100.0,100.0
Lakshadweep,100.0,100.0,100.0,100.0,100.0
Puducherry,98.0,97.0,99.0,99.0,85.0
