State/UT,No. of Unserved - Habitations (2002)*,No. of Unserved  -Habitations (2007)**
Andhra Pradesh,4216.0,2234.0
Andaman and Nicobar Islands,244.0,2.0
Arunachal Pradesh,2043.0,1328.0
Assam,9651.0,1661.0
Bihar,7014.0,2903.0
Chandigarh,5.0,0.0
Chhattisgarh,3103.0,3741.0
Daman and Diu,12.0,0.0
Delhi,36.0,0.0
Goa,62.0,67.0
Gujarat,1800.0,
Haryana,732.0,0.0
Himachal Pradesh,9369.0,0.0
Jammu and Kashmir,4175.0,1981.0
Jharkhand,11470.0,0.0
Karnataka,7221.0,0.0
Kerala,1353.0,0.0
Lakshadweep,0.0,0.0
Madhya Pradesh,3788.0,0.0
Maharashtra,6454.0,219.0
Manipur,791.0,187.0
Meghalaya,1043.0,851.0
Mizoram,77.0,22.0
Nagaland,71.0,0.0
Orissa,14528.0,797.0
Puducherry,12.0,10.0
Punjab,1118.0,0.0
Rajasthan,9846.0,3121.0
Sikkim,317.0,9.0
Tamil Nadu,6505.0,380.0
Tripura,1180.0,508.0
Dadra and Nagar Haveli,52.0,26.0
Uttar Pradesh,27427.0,9897.0
Uttarakhand,4568.0,909.0
West Bengal,,
