Sl. No.,STATE/U.T.,Type of School Building  - Pucca,Type of School Building - Partly Pucca,Type of School Building - Kuchcha,Type of School Building - Tent,Type of School Building - Open Space,Total
1,Andaman  Nicobar Islands,52,11,4,0,0,67
2,Andhra Pradesh,13782,1104,184,23,22,15115
3,Arunachal Pradesh,481,377,50,1,0,909
4,Assam,4286,3113,1530,24,1,8954
5,Bihar,20540,1899,153,15,168,22775
6,Chandigarh,22,0,0,0,0,22
7,Chhattisgarh,12814,1565,259,35,224,14897
8,Dadra  Nagar Haveli,84,10,0,0,0,94
9,Daman  Diu,30,1,0,1,0,32
10,Delhi,567,11,0,2,0,580
11,Goa,66,1,1,0,0,68
12,Gujarat,26488,3751,57,18,30,30344
13,Haryana,3300,38,0,3,6,3347
14,Himachal Pradesh,2560,248,91,4,63,2966
15,Jammu  Kashmir,6146,2060,364,22,59,8651
16,Jharkhand,13003,302,79,3,20,13407
17,Karnataka,26537,2146,254,19,5,28961
18,Kerala,2810,260,7,0,0,3077
19,Lakshadweep,10,0,0,0,0,10
20,Madhya Pradesh,35427,2711,356,32,372,38898
21,Maharashtra,25534,1412,260,23,12,27241
22,Manipur,145,308,245,0,1,699
23,Meghalaya,1260,885,135,6,2,2288
24,Mizoram,646,410,72,0,0,1128
25,Nagaland,261,220,43,1,0,525
26,Orissa,15853,2220,259,11,25,18368
27,Puducherry,105,12,0,0,0,117
28,Punjab,4042,36,3,10,35,4126
29,Rajasthan,34326,1558,90,16,70,36060
30,Sikkim,152,49,6,0,0,207
31,Tamil Nadu,9227,879,43,2,1,10152
32,Tripura,965,167,25,0,1,1158
33,Uttar Pradesh,61597,2887,69,44,105,64702
34,Uttarakhand,3940,200,20,7,68,4235
35,West Bengal,1303,179,23,0,217,1722
INDIA,INDIA,328361,31030,4682,322,1507,365902
