State/UT,Nursery (Pre-Primary/Pre-Basic) - Girls,Nursery (Pre-Primary/Pre-Basic) - Total,Primary - (I-V) - Girls,Primary - (I-V) - Total,Middle - (VI-VIII) - Girls,Middle - (VI-VIII) - Total,High/Higher Secondary - (IX-XII) - Girls,High/Higher Secondary - (IX-XII) - Total,(Pre-Primary to XII) - GRAND TOTAL - Girls,(Pre-Primary to XII) - GRAND TOTAL - Total
Andhra Pradesh,171489,390476,3491576,7124940,1793484,3643560,1783415,3719483,7239964,14878459
Arunachal Pradesh,24646,52451,108725,225979,39627,81762,27714,59619,200712,419811
Assam,378843,771082,1460074,2922714,674772,1351662,402521,881463,2916210,5926921
Bihar,98,220,6857499,14934274,2214656,4880432,1276280,3067878,10348533,22882804
Chhattisgarh,42295,95569,1553940,3231614,673867,1405827,462630,1000850,2732732,5733860
Goa,0,0,60529,126909,33780,71880,31018,63516,125327,262305
Gujarat,0,0,3066746,6582139,1284437,2862195,962570,2297431,5313753,11741765
Haryana,61345,131755,1077634,2284255,586101,1249777,629212,1303497,2354292,4969284
Himachal Pradesh,32717,67441,297714,625518,191572,410109,213286,448717,735289,1551785
Jammu and Kashmir,80799,172910,611967,1274874,306791,655432,250687,539267,1250244,2642483
Jharkhand,49517,113828,2469401,5015809,895130,1823057,397689,858142,3811737,7810836
Karnataka,0,0,2613045,5414574,1430580,2967444,1286659,2634996,5330284,11017014
Kerala,0,0,1144456,2335544,786870,1629159,892653,1765407,2823979,5730110
Madhya Pradesh,0,0,5243899,10657482,2355025,4764081,1352673,3515377,8951597,18936940
Maharashtra,1107107,2366806,4892921,10382801,2665074,5695622,2459510,5461387,11124612,23906616
Manipur,50723,110381,178506,368954,70611,148251,57470,120144,357310,747730
Meghalaya,144606,291747,257811,515054,83925,159184,38038,73680,524380,1039665
Mizoram,18819,38642,72059,150601,31261,65006,25035,49910,147174,304159
Nagaland,54609,117068,106003,219804,44122,90226,25386,52634,230120,479732
Odisha,0,0,2167135,4458178,943345,1963170,630096,1361239,3740576,7782587
Punjab,0,0,1108880,2503839,588276,1332040,501635,1094125,2198791,4930004
Rajasthan,200242,483073,3819370,8168617,1636775,3850002,1187711,3147406,6844098,15649098
Sikkim,12474,26385,39808,81172,18025,33175,11045,21005,81352,161737
Tamil Nadu,382958,784117,2969793,6110219,1782353,3687045,1563922,3058221,6699026,13639602
Tripura,3109,6846,193071,394418,105964,215680,74883,158438,377027,775382
Uttar Pradesh,0,0,13901967,28835305,4889723,10720593,3886610,9290761,22678300,48846659
Uttarakhand,0,0,526967,1094148,309873,627972,280312,597650,1117152,2319770
West Bengal,0,0,3605173,7251542,2277108,4512411,1608485,3321213,7490766,15085166
Andaman and Nicobar Islands,3493,7275,16302,33416,10483,21690,10894,22581,41172,84962
Chandigarh,7456,16343,39802,85988,22483,50408,25388,55645,95129,208384
Dadra and Nagar Haveli,0,0,19151,40032,8678,19003,4879,11741,32708,70776
Daman and Diu,1539,3447,7994,17142,4291,9142,3828,8218,17652,37949
Delhi,71247,148601,810974,1731123,452380,982949,491541,1057792,1826142,3920465
Lakshadweep,528,1010,2890,5936,2178,4079,2267,4440,7863,15465
Puducherry,18698,38989,54737,112032,34915,72425,36426,71233,144776,294679
