States,Children Involvement and Time Spent (Hrs/Week)- Washing utensils -Involvement percetage,Children Involvement and Time Spent (Hrs/Week)-Washing utensils -Average Time Spent
Andhra Pradesh,NA,NA
Arunachal Pradesh,38.14,2.2
Bihar,NA,NA
Haryana,NA,NA
Himachal Pradesh,NA,NA
Jammu & Kashmir,16.67,0.15
Jharkhand,NA,NA
Karnataka,NA,NA
Kerala,NA,NA
Madhya Pradesh,28.48,1.69
Maharashtra,8.11,1.32
Meghalaya,33.33,0.6
Punjab,2.83,3
Rajasthan,48.81,9.83
Tamilnadu,NA,NA
Uttar Pradesh,8.48,6
West Bengal,45.1,8.57
