Sl. No.,STATE/U.T.,Type of School Building - Pucca,Type of School Building - Partly Pucca,Type of School Building - Kuchcha,Type of School Building - Tent,Type of School Building - Open Space,Total
1,Andaman  Nicobar Islands,40,5,0,0,0,45
2,Andhra Pradesh,16011,1477,205,21,106,17820
3,Arunachal Pradesh,102,86,4,0,0,192
4,Assam,1727,1927,481,3,0,4138
5,Bihar,2298,366,27,1,8,2700
6,Chandigarh,68,0,0,0,0,68
7,Chhattisgarh,1457,253,45,10,73,1838
8,Dadra  Nagar Haveli,17,0,0,0,0,17
9,Daman  Diu,17,1,0,0,0,18
10,Delhi,425,47,1,3,0,476
11,Goa,367,11,0,0,0,378
12,Gujarat,4633,515,52,7,11,5218
13,Haryana,3415,29,2,4,0,3450
14,Himachal Pradesh,1132,153,34,1,0,1320
15,Jammu  Kashmir,1770,326,28,8,1,2133
16,Jharkhand,1607,101,10,2,10,1730
17,Karnataka,10065,737,181,77,79,11139
18,Kerala,1349,81,3,3,0,1436
19,Lakshadweep,2,0,0,0,0,2
20,Madhya Pradesh,5181,372,72,10,162,5797
21,Maharashtra,12505,1523,729,40,4,14801
22,Manipur,243,280,131,0,0,654
23,Meghalaya,375,285,32,1,0,693
24,Mizoram,263,160,54,0,0,477
25,Nagaland,163,155,23,0,0,341
26,Orissa,6353,1622,211,5,8,8199
27,Puducherry,166,9,0,0,0,175
28,Punjab,3430,43,3,2,10,3488
29,Rajasthan,11219,324,12,8,4,11567
30,Sikkim,107,22,1,0,0,130
31,Tamil Nadu,4219,394,18,11,28,4670
32,Tripura,396,57,4,1,0,458
33,Uttar Pradesh,5046,438,7,8,5,5504
34,Uttarakhand,990,96,7,2,16,1111
35,West Bengal,4459,348,13,0,3,4823
INDIA,INDIA,101617,12243,2390,228,528,117006
